2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:48:25 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:02 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
